Index,Question
1057,Who is at risk for Treatment for childhood cancer - long-term risks?  (Also called: Childhood cancer - late effects)
1058,What is (are) Treatment for childhood cancer - long-term risks ? (Also called: Childhood cancer - late effects)
1059,How to prevent Treatment for childhood cancer - long-term risks ? (Also called: Childhood cancer - late effects)
1060,Do you have information about Medicines (Also called: Drugs; Medications)
1061,What are the brand names of Prednisone ?
1062,What should I do if I forget a dose of Prednisone ?
1063,What are the side effects or risks of Prednisone ?
1064,What other information should I know about Prednisone ?
1065,How should Prednisone be used and what is the dosage ?
1066,What are the side effects or risks of Prednisone ?
1067,What causes Electrical injury ? (Also called: Electrical shock)
1068,What causes Hypovolemic shock ? (Also called: Shock - hypovolemic)
1069,What causes Near drowning ? (Also called: Drowning - near)
1070,What to do for Near drowning ? (Also called: Drowning - near)
1071,What is (are) Swallowing problems ?
1072,What is the outlook for Swallowing problems ?
1073,What to do for Swallowing problems ?
1074,Do I need to see a doctor for Swallowing problems ?
1075,What is (are) Electrical injury ? (Also called: Electrical shock)
1076,What causes Electrical injury ? (Also called: Electrical shock)
1077,What to do for Electrical injury ? (Also called: Electrical shock)
1078,What to do for Electrical injury ? (Also called: Electrical shock)
1079,Do I need to see a doctor for Electrical injury ? (Also called: Electrical shock)
1080,How to prevent Electrical injury ? (Also called: Electrical shock)
1081,What is (are) Swallowing difficulty ? (Also called: Dysphagia; Impaired swallowing; Choking - food; Globus sensation)
1082,What to do for Electrical injury ? (Also called: Electrical shock)
1083,What causes Swallowing difficulty ? (Also called: Dysphagia; Impaired swallowing; Choking - food; Globus sensation)
1084,What are the symptoms of Electrical injury ? (Also called: Electrical shock)
1085,What are the brand names of Calcitonin Salmon Nasal Spray ?
1086,Who should get Calcitonin Salmon Nasal Spray and why is it prescribed ?
1087,How should Calcitonin Salmon Nasal Spray be used and what is the dosage ?
1088,Are there safety concerns or special precautions about Calcitonin Salmon Nasal Spray ?
1089,What special dietary instructions should I follow with Calcitonin Salmon Nasal Spray ?
1090,What should I do if I forget a dose of Calcitonin Salmon Nasal Spray ?
1091,What are the side effects or risks of Calcitonin Salmon Nasal Spray ?
1092,What to do in case of emergency or overdose of Calcitonin Salmon Nasal Spray ?
1093,What other information should I know about Calcitonin Salmon Nasal Spray ?
1094,What should I know about storage and disposal of Calcitonin Salmon Nasal Spray ?
1095,Do you have information about Am I in labor? (Also called: False labor; Braxton Hicks contractions; Prodromal labor; Latent labor; Pregnancy - labor)
1096,What is (are) Cancer and lymph nodes ? (Also called: Lymph gland)
1097,Do you have information about Cant sleep? Try these tips
1098,Do you have information about Lymph node biopsy (Also called: Biopsy - lymph nodes; Open lymph node biopsy; Fine needle aspiration biopsy; Sentinel lymph node biopsy)
1099,Do you have information about Lymph node culture (Also called: Culture - lymph node)
1100,What is (are) Swollen lymph nodes ? (Also called: Swollen glands; Glands - swollen; Lymph nodes - swollen; Lymphadenopathy)
1101,What to do for Swollen lymph nodes ? (Also called: Swollen glands; Glands - swollen; Lymph nodes - swollen; Lymphadenopathy)
1102,What causes Swollen lymph nodes ? (Also called: Swollen glands; Glands - swollen; Lymph nodes - swollen; Lymphadenopathy)
1103,What to do for Swollen lymph nodes ? (Also called: Swollen glands; Glands - swollen; Lymph nodes - swollen; Lymphadenopathy)
1104,Do I need to see a doctor for Swollen lymph nodes ? (Also called: Swollen glands; Glands - swollen; Lymph nodes - swollen; Lymphadenopathy)
1105,Do you have information about White matter of the brain
1106,What is (are) leukoencephalopathy with vanishing white matter ? (Also called: CACH syndrome; childhood ataxia with central nervous system hypomyelination; Cree leukoencephalopathy; myelinosis centralis diffusa; vanishing white matter disease; vanishing white matter leukodystrophy)
1107,How many people are affected by leukoencephalopathy with vanishing white matter ? (Also called: CACH syndrome; childhood ataxia with central nervous system hypomyelination; Cree leukoencephalopathy; myelinosis centralis diffusa; vanishing white matter disease; vanishing white matter leukodystrophy)
1108,What are the genetic changes related to leukoencephalopathy with vanishing white matter ? (Also called: CACH syndrome; childhood ataxia with central nervous system hypomyelination; Cree leukoencephalopathy; myelinosis centralis diffusa; vanishing white matter disease; vanishing white matter leukodystrophy)
1109,Is leukoencephalopathy with vanishing white matter inherited ? (Also called: CACH syndrome; childhood ataxia with central nervous system hypomyelination; Cree leukoencephalopathy; myelinosis centralis diffusa; vanishing white matter disease; vanishing white matter leukodystrophy)
1110,What are the treatments for leukoencephalopathy with vanishing white matter ? (Also called: CACH syndrome; childhood ataxia with central nervous system hypomyelination; Cree leukoencephalopathy; myelinosis centralis diffusa; vanishing white matter disease; vanishing white matter leukodystrophy)
1111,What is (are) sick sinus syndrome ? (Also called: sinus node disease; sinus node dysfunction; SND; SSS)
1112,What are the genetic changes related to sick sinus syndrome ? (Also called: sinus node disease; sinus node dysfunction; SND; SSS)
1113,What is (are) Central sleep apnea ? (Also called: Sleep apnea - central)
1114,What is (are) Changing your sleep habits ? (Also called: Insomnia - sleep habits; Sleep disorder - sleep habits; Problems falling asleep; Sleep hygiene)
1115,Do I need to see a doctor for Changing your sleep habits ? (Also called: Insomnia - sleep habits; Sleep disorder - sleep habits; Problems falling asleep; Sleep hygiene)
1116,What is (are) Facial paralysis ? (Also called: Paralysis of the face)
1117,What causes Facial paralysis ? (Also called: Paralysis of the face)
1118,What to do for Facial paralysis ? (Also called: Paralysis of the face)
1119,What is (are) Pediatric sleep apnea ? (Also called: Sleep apnea - pediatric; Apnea - pediatric sleep apnea syndrome; Sleep-disordered breathing - pediatric)
1120,What causes Pediatric sleep apnea ? (Also called: Sleep apnea - pediatric; Apnea - pediatric sleep apnea syndrome; Sleep-disordered breathing - pediatric)
1121,What is (are) Sleep Apnea ? (Also called: Sleep-disordered breathing)
1122,What is (are) Sleep Disorders ?
1123,What is (are) Sleep Apnea ?
1124,How to diagnose Isolated sleep paralysis ? (Also called: Sleep paralysis - isolated; Parasomnia - isolated sleep paralysis)
1125,What are the treatments for Isolated sleep paralysis ? (Also called: Sleep paralysis - isolated; Parasomnia - isolated sleep paralysis)
1126,What is (are) Isolated sleep paralysis ? (Also called: Sleep paralysis - isolated; Parasomnia - isolated sleep paralysis)
1127,What are the symptoms of Isolated sleep paralysis ? (Also called: Sleep paralysis - isolated; Parasomnia - isolated sleep paralysis)
1128,How to diagnose Isolated sleep paralysis ? (Also called: Sleep paralysis - isolated; Parasomnia - isolated sleep paralysis)
1129,What are the treatments for Isolated sleep paralysis ? (Also called: Sleep paralysis - isolated; Parasomnia - isolated sleep paralysis)
1130,What is (are) Alcohol use and safe drinking ? (Also called: Beer consumption; Wine consumption; Hard liquor consumption; Safe drinking)
1131,What is (are) Alcohol use and safe drinking ? (Also called: Beer consumption; Wine consumption; Hard liquor consumption; Safe drinking)
1132,What is (are) Asthma ? (Also called: Bronchial asthma; Wheezing - asthma - adults)
1133,What causes Asthma ? (Also called: Bronchial asthma; Wheezing - asthma - adults)
1134,What is (are) Asthma - children ? (Also called: Pediatric asthma; Asthma - pediatric; Wheezing - asthma - children)
1135,What causes Asthma - children ? (Also called: Pediatric asthma; Asthma - pediatric; Wheezing - asthma - children)
1136,What are the symptoms of Asthma - children ? (Also called: Pediatric asthma; Asthma - pediatric; Wheezing - asthma - children)
1137,What is (are) Breath odor ? (Also called: Bad breath; Halitosis)
1138,What is (are) Breathing difficulties - first aid ? (Also called: Difficulty breathing - first aid; Dyspnea - first aid; Shortness of breath - first aid)
1139,What is (are) Breathing difficulty ? (Also called: Shortness of breath; Breathlessness; Difficulty breathing; Dyspnea)
1140,What to do for Breathing difficulty ? (Also called: Shortness of breath; Breathlessness; Difficulty breathing; Dyspnea)
1141,What is (are) Breathing difficulty - lying down ? (Also called: Waking at night short of breath; Paroxysmal nocturnal dyspnea; PND; Difficulty breathing while lying down; Orthopnea)
1142,What to do for Breathing difficulty - lying down ? (Also called: Waking at night short of breath; Paroxysmal nocturnal dyspnea; PND; Difficulty breathing while lying down; Orthopnea)
1143,What causes Breathing difficulty - lying down ? (Also called: Waking at night short of breath; Paroxysmal nocturnal dyspnea; PND; Difficulty breathing while lying down; Orthopnea)
1144,What to do for Breathing difficulty - lying down ? (Also called: Waking at night short of breath; Paroxysmal nocturnal dyspnea; PND; Difficulty breathing while lying down; Orthopnea)
1145,Do I need to see a doctor for Breathing difficulty - lying down ? (Also called: Waking at night short of breath; Paroxysmal nocturnal dyspnea; PND; Difficulty breathing while lying down; Orthopnea)
1146,What is the outlook for Breathing difficulty - lying down ? (Also called: Waking at night short of breath; Paroxysmal nocturnal dyspnea; PND; Difficulty breathing while lying down; Orthopnea)
1147,Do you have information about Child safety seats (Also called: Child car seats; Infant car seats; Car seats; Car safety seats)
1148,What is (are) Clean catch urine sample ? (Also called: Urine culture - clean catch; Urinalysis - clean catch; Clean catch urine specimen; Urine collection - clean catch)
1149,What is (are) Dementia - keeping safe in the home ?
1150,Do you have information about Drinking water safely during cancer treatment
1151,What is (are) Exercise-induced asthma ?
1152,What is (are) Exercising and asthma at school ?
1153,Do you have information about Safe driving for teens (Also called: Driving and teenagers; Teens and safe driving; Automobile safety - teenage drivers)
1154,Do you have information about Safe eating during cancer treatment
1155,Do you have information about Safe sex
1156,Do you have information about Taking multiple medicines safely
1157,Do you have information about Using over-the-counter medicines safely
1158,What is (are) allergic asthma ? (Also called: extrinsic asthma)
1159,What is (are) Bad Breath ? (Also called: Halitosis)
1160,How to prevent Asthma ? (Also called: Bronchial asthma; Wheezing - asthma - adults)
1161,Do you have information about Exercise and age (Also called: Age and exercise)
1162,"Do you have information about Exercise, lifestyle, and your bones (Also called: Osteoporosis - exercise; Low bone density - exercise)"
1163,Do you have information about Am I in labor? (Also called: False labor; Braxton Hicks contractions; Prodromal labor; Latent labor; Pregnancy - labor)
1164,What is (are) Bathing a patient in bed ? (Also called: Bed bath; Sponge bath)
1165,Do you have information about Bed rest during pregnancy
1166,What is (are) Changing your sleep habits ? (Also called: Insomnia - sleep habits; Sleep disorder - sleep habits; Problems falling asleep; Sleep hygiene)
1167,Do you have information about Getting out of bed after surgery
1168,Do you have information about Going home after a C-section
1169,Do you have information about Long bones
1170,What is (are) Moving a patient from bed to a wheelchair ? (Also called: Pivot turn; Transfer from bed to wheelchair)
1171,What is (are) Nail injuries ? (Also called: Nail laceration; Nail avulsion; Nail bed injury; Subungual hematoma)
1172,What is (are) Nail injuries ? (Also called: Nail laceration; Nail avulsion; Nail bed injury; Subungual hematoma)
1173,What is (are) Night terror ? (Also called: Pavor nocturnus; Sleep terror disorder)
1174,What causes Night terror ? (Also called: Pavor nocturnus; Sleep terror disorder)
1175,What are the symptoms of Night terror ? (Also called: Pavor nocturnus; Sleep terror disorder)
1176,How to diagnose Night terror ? (Also called: Pavor nocturnus; Sleep terror disorder)
1177,What is the outlook for Night terror ? (Also called: Pavor nocturnus; Sleep terror disorder)
1178,Do I need to see a doctor for Night terror ? (Also called: Pavor nocturnus; Sleep terror disorder)
1179,How to prevent Night terror ? (Also called: Pavor nocturnus; Sleep terror disorder)
1180,Do you have information about Polysomnography (Also called: Sleep study; Polysomnogram; Rapid eye movement studies; Split night polysomnography; PSG)
1181,Do you have information about Pulling a patient up in bed (Also called: Moving a patient in bed)
1182,Do you have information about The night before your surgery
1183,Do you have information about Turning patients over in bed (Also called: Roll patients in bed)
1184,What is (are) Vision - night blindness ? (Also called: Nyctanopia; Nyctalopia; Night blindness)
1185,What to do for Vision - night blindness ? (Also called: Nyctanopia; Nyctalopia; Night blindness)
1186,What is (are) Pressure Sores ? (Also called: Bed sores; Decubitus ulcers; Pressure ulcers)
1187,What is (are) Sleep Apnea ? (Also called: Sleep-disordered breathing)
1188,What are the symptoms of Achondroplasia ?
1189,What are the symptoms of Acidosis ?
1190,What are the symptoms of Alkalosis ?
1191,What are the symptoms of Aneurysm ?
1192,What are the symptoms of Ascariasis ?
1193,What is (are) Blockage of upper airway ? (Also called: Airway obstruction - acute upper)
1194,What causes Blockage of upper airway ? (Also called: Airway obstruction - acute upper)
1195,What are the symptoms of Blockage of upper airway ? (Also called: Airway obstruction - acute upper)
1196,What are the treatments for Blockage of upper airway ? (Also called: Airway obstruction - acute upper)
1197,How to prevent Blockage of upper airway ? (Also called: Airway obstruction - acute upper)
1198,What are the symptoms of Botulism ?
1199,What is (are) Defining overweight and obesity - children ?
1200,Do you have information about Ear wax (Also called: Ear impaction; Cerumen impaction; Ear blockage)
1201,Do you have information about His bundle electrography (Also called: His bundle electrogram; HBE; His bundle recording; Electrogram - His bundle)
1202,What is (are) progressive familial heart block ? (Also called: bundle branch block; HBBD; hereditary bundle branch defect; hereditary bundle branch system defect; Lenegre Lev disease; Lev-Lengre disease; Lev syndrome; Lev's disease; PCCD; progressive cardiac conduction defect)
1203,How many people are affected by progressive familial heart block ? (Also called: bundle branch block; HBBD; hereditary bundle branch defect; hereditary bundle branch system defect; Lenegre Lev disease; Lev-Lengre disease; Lev syndrome; Lev's disease; PCCD; progressive cardiac conduction defect)
1204,What are the genetic changes related to progressive familial heart block ? (Also called: bundle branch block; HBBD; hereditary bundle branch defect; hereditary bundle branch system defect; Lenegre Lev disease; Lev-Lengre disease; Lev syndrome; Lev's disease; PCCD; progressive cardiac conduction defect)
1205,Is progressive familial heart block inherited ? (Also called: bundle branch block; HBBD; hereditary bundle branch defect; hereditary bundle branch system defect; Lenegre Lev disease; Lev-Lengre disease; Lev syndrome; Lev's disease; PCCD; progressive cardiac conduction defect)
1206,What are the treatments for progressive familial heart block ? (Also called: bundle branch block; HBBD; hereditary bundle branch defect; hereditary bundle branch system defect; Lenegre Lev disease; Lev-Lengre disease; Lev syndrome; Lev's disease; PCCD; progressive cardiac conduction defect)
1207,What are the symptoms of Heart block ? (Also called: AV Block; Arrhythmia; First-degree heart block; Second-degree heart block; Mobitz type 1; Wenckebach's block; Mobitz type II; Third-degree heart block)
1208,What are the treatments for Heart block ? (Also called: AV Block; Arrhythmia; First-degree heart block; Second-degree heart block; Mobitz type 1; Wenckebach's block; Mobitz type II; Third-degree heart block)
1209,Do you have information about His bundle electrography (Also called: His bundle electrogram; HBE; His bundle recording; Electrogram - His bundle)
1210,What are the symptoms of Heart Block ?
1211,What is (are) progressive familial heart block ? (Also called: bundle branch block; HBBD; hereditary bundle branch defect; hereditary bundle branch system defect; Lenegre Lev disease; Lev-Lengre disease; Lev syndrome; Lev's disease; PCCD; progressive cardiac conduction defect)
1212,What is (are) Alcohol use and safe drinking ? (Also called: Beer consumption; Wine consumption; Hard liquor consumption; Safe drinking)
1213,What is (are) Alcohol use and safe drinking ? (Also called: Beer consumption; Wine consumption; Hard liquor consumption; Safe drinking)
1214,What is (are) Allergic reactions ?
1215,What to do for Allergic reactions ?
1216,Do you have information about Am I in labor? (Also called: False labor; Braxton Hicks contractions; Prodromal labor; Latent labor; Pregnancy - labor)
1217,What is (are) Antisocial personality disorder ? (Also called: Sociopathic personality; Sociopathy; Personality disorder - antisocial)
1218,What causes Antisocial personality disorder ? (Also called: Sociopathic personality; Sociopathy; Personality disorder - antisocial)
1219,What is (are) Bleeding gums ? (Also called: Gums - bleeding)
1220,What causes Bleeding gums ? (Also called: Gums - bleeding)
1221,What to do for Bleeding gums ? (Also called: Gums - bleeding)
1222,What is (are) Dementia - keeping safe in the home ?
1223,Do you have information about Drinking water safely during cancer treatment
1224,Do you have information about Gum biopsy (Also called: Biopsy - gingiva (gums))
1225,Do you have information about Safe driving for teens (Also called: Driving and teenagers; Teens and safe driving; Automobile safety - teenage drivers)
1226,Do you have information about Safe eating during cancer treatment
1227,Do you have information about Safe sex
1228,Do you have information about Taking multiple medicines safely
1229,Do you have information about Using over-the-counter medicines safely
1230,What to do in case of emergency or overdose of Cephalexin ?
1231,Who should get Nicotine Gum and why is it prescribed ?
1232,How should Nicotine Gum be used and what is the dosage ?
1233,What other information should I know about Penicillin G Benzathine and Penicillin G Procaine Injection ?
1234,What are the brand names of Cephalexin ?
1235,Who should get Cephalexin and why is it prescribed ?
1236,How should Cephalexin be used and what is the dosage ?
1237,What should I do if I forget a dose of Cephalexin ?
1238,What are the side effects or risks of Cephalexin ?
1239,What other information should I know about Cephalexin ?
1240,How should Cephalexin be used and what is the dosage ?
1241,Are there safety concerns or special precautions about Cephalexin ?
1242,Do you have information about Endometrial ablation (Also called: Hysteroscopy-endometrial ablation; Laser thermal ablation; Endometrial ablation-radiofrequency; Endometrial ablation-thermal balloon ablation; Rollerball ablation; Hydrothermal ablation; Novasure ablation)
1243,Do you have information about Foods - fresh vs. frozen or canned (Also called: Frozen foods vs. fresh or canned; Fresh foods vs. frozen or canned; Frozen vegetables versus fresh)
1244,What is (are) Heart block ? (Also called: AV Block; Arrhythmia; First-degree heart block; Second-degree heart block; Mobitz type 1; Wenckebach's block; Mobitz type II; Third-degree heart block)
1245,How to diagnose Heart block ? (Also called: AV Block; Arrhythmia; First-degree heart block; Second-degree heart block; Mobitz type 1; Wenckebach's block; Mobitz type II; Third-degree heart block)
1246,What is (are) Heart failure - tests ? (Also called: CHF - tests; Congestive heart failure - tests; Cardiomyopathy - tests; HF - tests)
1247,Do you have information about Holter monitor (24h) (Also called: Ambulatory electrocardiography; Electrocardiography - ambulatory)
1248,What is (are) Low back pain - acute ? (Also called: Backache; Low back pain; Lumbar pain; Pain - back; Acute back pain; Back pain - new; Back pain - short-term; Back strain - new)
1249,What is (are) Varicose vein - noninvasive treatment ? (Also called: Sclerotherapy; Laser therapy - varicose veins; Radiofrequency vein ablation; Endovenous thermal ablation; Ambulatory phlebectomy; Transilluminated power phlebotomy; Endovenous laser ablation; Varicose vein therapy)
1250,What is (are) Varicose vein - noninvasive treatment ? (Also called: Sclerotherapy; Laser therapy - varicose veins; Radiofrequency vein ablation; Endovenous thermal ablation; Ambulatory phlebectomy; Transilluminated power phlebotomy; Endovenous laser ablation; Varicose vein therapy)
1251,Who is at risk for Varicose vein - noninvasive treatment?  (Also called: Sclerotherapy; Laser therapy - varicose veins; Radiofrequency vein ablation; Endovenous thermal ablation; Ambulatory phlebectomy; Transilluminated power phlebotomy; Endovenous laser ablation; Varicose vein therapy)
1252,What is the outlook for Varicose vein - noninvasive treatment ? (Also called: Sclerotherapy; Laser therapy - varicose veins; Radiofrequency vein ablation; Endovenous thermal ablation; Ambulatory phlebectomy; Transilluminated power phlebotomy; Endovenous laser ablation; Varicose vein therapy)
1253,"Do you have information about Varicose vein stripping (Also called: Vein stripping with ligation, avulsion, or ablation; vein ligation and stripping; vein surgery)"
1254,What is (are) What if cancer comes back?  (Also called: Carcinoma-recurrence; Squamous cell-recurrence; Adenocarcinoma-recurrence; Lymphoma-recurrence; Tumor-recurrence; Leukemia-recurrence; Cancer-recurrence)
1255,Who is at risk for What if cancer comes back??  (Also called: Carcinoma-recurrence; Squamous cell-recurrence; Adenocarcinoma-recurrence; Lymphoma-recurrence; Tumor-recurrence; Leukemia-recurrence; Cancer-recurrence)
1256,how can botulism be prevented?
1257,What is (are) Arrhythmias ? (Also called: Abnormal heart rhythms; Bradycardia; Tachycardia)
1258,How to diagnose Arrhythmias ? (Also called: Abnormal heart rhythms; Bradycardia; Tachycardia)
1259,Do I need to see a doctor for Arrhythmias ? (Also called: Abnormal heart rhythms; Bradycardia; Tachycardia)
1260,How to prevent Arrhythmias ? (Also called: Abnormal heart rhythms; Bradycardia; Tachycardia)
1261,Do you have information about Pulse (Also called: Heart rate; Heart beat)
1262,What is (are) Arrhythmia ? (Also called: Irregular heartbeat)
1263,What is (are) Arrhythmia ?
1264,What causes Arrhythmia ?
1265,What are the symptoms of Arrhythmia ?
1266,What causes Arrhythmias ? (Also called: Abnormal heart rhythms; Bradycardia; Tachycardia)
1267,How to diagnose Arrhythmias ? (Also called: Abnormal heart rhythms; Bradycardia; Tachycardia)
1268,How to diagnose Arrhythmia ?
1269,Do you have information about Cardiac ablation procedures (Also called: Catheter ablation; Radiofrequency catheter ablation; Cryoablation)
1270,What is (are) Comedones ? (Also called: Skin bumps - acne-like; Acne-like skin bumps)
1271,What is (are) Helping a loved one with a drinking problem ?
1272,What is (are) Helping your teen with depression ?
1273,What is (are) Helping your teen with depression ?
1274,Do you have information about Pregnancy and work
1275,Do you have information about Understanding health insurance plans
1276,What is (are) Vaginal dryness alternative treatments ? (Also called: Alternative treatments for vaginal dryness)
1277,Do you have information about Working during cancer treatment
1278,Do you have information about Working with a personal trainer
1279,What is (are) alternating hemiplegia of childhood ? (Also called: alternating hemiplegia syndrome)
1280,How many people are affected by alternating hemiplegia of childhood ? (Also called: alternating hemiplegia syndrome)
1281,What are the genetic changes related to alternating hemiplegia of childhood ? (Also called: alternating hemiplegia syndrome)
1282,Is alternating hemiplegia of childhood inherited ? (Also called: alternating hemiplegia syndrome)
1283,What are the treatments for alternating hemiplegia of childhood ? (Also called: alternating hemiplegia syndrome)
1284,What is (are) Huntington disease-like syndrome ? (Also called: Huntington disease-like syndromes; Huntington's disease-like syndromes; Huntington's disease phenocopies; Huntington's disease phenocopy syndromes)
1285,"What is (are) hystrix-like ichthyosis with deafness ? (Also called: HID syndrome; ichthyosis, hystrix-like, with deafness)"
1286,"What are the genetic changes related to hystrix-like ichthyosis with deafness ? (Also called: HID syndrome; ichthyosis, hystrix-like, with deafness)"
1287,Do you have information about Cancer Alternative Therapies
1288,Do you have information about Health Insurance
1289,What is the action of Alfalfa and how does it work ?
1290,What is the action of Arnica and how does it work ?
1291,What is the action of Ashwagandha and how does it work ?
1292,What is (are) Alternating Hemiplegia ?
1293,What are the treatments for Alternating Hemiplegia ?
1294,What is the outlook for Alternating Hemiplegia ?
1295,what research (or clinical trials) is being done for Alternating Hemiplegia ?
1296,Where to find support for people with Aicardi syndrome ?
1297,Where to find support for people with Allergies ?
1298,Do you have information about Am I in labor? (Also called: False labor; Braxton Hicks contractions; Prodromal labor; Latent labor; Pregnancy - labor)
1299,Where to find support for people with Carcinoid syndrome ?
1300,What is (are) Exercises to help prevent falls ?
1301,Do I need to see a doctor for Exercises to help prevent falls ?
1302,Where to find support for people with Ganglioneuroblastoma ?
1303,Where to find support for people with Hepatitis ?
1304,Where to find support for people with Hepatitis B ?
1305,Where to find support for people with Marfan syndrome ?
1306,Do you have information about Movement - uncontrollable (Also called: Uncontrolled movements; Involuntary body movements; Body movements - uncontrollable; Dyskinesia; Athetosis; Myoclonus; Ballismus)
1307,Where to find support for people with Neuroblastoma ?
1308,Where to find support for people with Noonan syndrome ?
1309,What is (are) Nystagmus ? (Also called: Back and forth eye movements; Involuntary eye movements; Rapid eye movements from side to side; Uncontrolled eye movements; Eye movements - uncontrollable)
1310,What to do for Nystagmus ? (Also called: Back and forth eye movements; Involuntary eye movements; Rapid eye movements from side to side; Uncontrolled eye movements; Eye movements - uncontrollable)
1311,What to do for Nystagmus ? (Also called: Back and forth eye movements; Involuntary eye movements; Rapid eye movements from side to side; Uncontrolled eye movements; Eye movements - uncontrollable)
1312,Do you have information about Resources (Also called: Support groups - by disease and condition)
1313,Where to find support for people with Vitiligo ?
1314,What is (are) nephronophthisis ? (Also called: NPH; NPHP)
1315,How can I learn more about Meningococcal Group B Vaccine (MenB) ?
1316,Do you have information about Movement - uncontrolled or slow (Also called: Dystonia; Involuntary slow and twisting movements; Choreoathetosis; Leg and arm movements - uncontrollable; Arm and leg movements - uncontrollable; Slow involuntary movements of large muscle groups; Athetoid movements)
1317,What is (are) Normal pressure hydrocephalus ? (Also called: Hydrocephalus - idiopathic; Hydrocephalus - adult; Hydrocephalus - communicating)
1318,What causes Normal pressure hydrocephalus ? (Also called: Hydrocephalus - idiopathic; Hydrocephalus - adult; Hydrocephalus - communicating)
1319,What are the symptoms of Normal pressure hydrocephalus ? (Also called: Hydrocephalus - idiopathic; Hydrocephalus - adult; Hydrocephalus - communicating)
1320,How to diagnose Normal pressure hydrocephalus ? (Also called: Hydrocephalus - idiopathic; Hydrocephalus - adult; Hydrocephalus - communicating)
1321,What is the outlook for Normal pressure hydrocephalus ? (Also called: Hydrocephalus - idiopathic; Hydrocephalus - adult; Hydrocephalus - communicating)
1322,What are the complications of Normal pressure hydrocephalus ? (Also called: Hydrocephalus - idiopathic; Hydrocephalus - adult; Hydrocephalus - communicating)
1323,Do I need to see a doctor for Normal pressure hydrocephalus ? (Also called: Hydrocephalus - idiopathic; Hydrocephalus - adult; Hydrocephalus - communicating)
1324,What is the outlook for Normal Pressure Hydrocephalus ?
1325,What is (are) Normal Pressure Hydrocephalus ?
1326,what research (or clinical trials) is being done for Normal Pressure Hydrocephalus ?
1327,What are the treatments for Major depression with psychotic features ? (Also called: Psychotic depression; Delusional depression)
1328,What are the treatments for Postpartum depression ? (Also called: Depression - postpartum; Postnatal depression; Postpartum psychological reactions)
1329,how can botulism be treated?
1330,how can these diseases be treated for Marine Toxins ?
1331,how can y. enterocolitica infections be treated for Yersinia ?
1332,What should I do if I forget a dose of Naltrexone ?
1333,What should I do if I forget a dose of Naltrexone Injection ?
1334,What is (are) Depression ? (Also called: Clinical depression; Dysthymic disorder; Major depressive disorder; Unipolar depression)
1335,What is (are) Depression ?
1336,What is (are) Depression ?
1337,What are the treatments for Depression - older adults ? (Also called: Depression in the elderly)
1338,What is (are) Major depression ? (Also called: Depression - major; Depression - clinical; Clinical depression; Unipolar depression; Major depressive disorder)
1339,What causes Major depression ? (Also called: Depression - major; Depression - clinical; Clinical depression; Unipolar depression; Major depressive disorder)
1340,What are the symptoms of Major depression ? (Also called: Depression - major; Depression - clinical; Clinical depression; Unipolar depression; Major depressive disorder)
1341,What are the treatments for Major depression ? (Also called: Depression - major; Depression - clinical; Clinical depression; Unipolar depression; Major depressive disorder)
1342,What is the outlook for Major depression ? (Also called: Depression - major; Depression - clinical; Clinical depression; Unipolar depression; Major depressive disorder)
1343,Do I need to see a doctor for Major depression ? (Also called: Depression - major; Depression - clinical; Clinical depression; Unipolar depression; Major depressive disorder)
1344,How to prevent Major depression ? (Also called: Depression - major; Depression - clinical; Clinical depression; Unipolar depression; Major depressive disorder)
1345,What are the treatments for Major depression with psychotic features ? (Also called: Psychotic depression; Delusional depression)
1346,What are the treatments for Persistent depressive disorder ? (Also called: PDD; Chronic depression; Depression - chronic)
1347,What other information should I know about Naltrexone ?
1348,What are the brand names of Naltrexone ?
1349,How should Naltrexone be used and what is the dosage ?
1350,What other information should I know about Naltrexone Injection ?
1351,What is (are) Depression ? (Also called: Clinical depression; Dysthymic disorder; Major depressive disorder; Unipolar depression)
1352,What are the treatments for Major depression ? (Also called: Depression - major; Depression - clinical; Clinical depression; Unipolar depression; Major depressive disorder)
1353,What is (are) Clean catch urine sample ? (Also called: Urine culture - clean catch; Urinalysis - clean catch; Clean catch urine specimen; Urine collection - clean catch)
1354,What is (are) Hepatitis A - children ? (Also called: Viral hepatitis - children; Infectious hepatitis - children)
1355,Do you have information about Dental Health (Also called: Oral health)
1356,Do you have information about International Health (Also called: Global health)
1357,What is (are) Sexually Transmitted Diseases ? (Also called: Sexually transmitted infections; STDs; Venereal disease)
1358,Do you have information about Teen Health (Also called: Adolescent health)
1359,What is (are) Hepatitis ?
1360,What is (are) Hepatitis A ? (Also called: Viral hepatitis; Infectious hepatitis)
1361,What are the symptoms of Hepatitis A ? (Also called: Viral hepatitis; Infectious hepatitis)
1362,How to diagnose Hepatitis A ? (Also called: Viral hepatitis; Infectious hepatitis)
1363,Do I need to see a doctor for Hepatitis A ? (Also called: Viral hepatitis; Infectious hepatitis)
1364,What is (are) Hepatitis B ?
1365,What is (are) Hepatitis C ? (Also called: Sustained virologic response - hepatitis C; SVR - hepatitis C)
1366,What is (are) Hepatitis virus panel ? (Also called: Hepatitis A antibody test; Hepatitis B antibody test; Hepatitis C antibody test; Hepatitis D antibody test)
1367,What is (are) Hepatitis ? (Also called: Viral hepatitis)
1368,What is (are) Sexually Transmitted Diseases ? (Also called: Sexually transmitted infections; STDs; Venereal disease)
